Time [s]  /	Frequency [Hz] 	/	Power [dB]     
0.3054    /	3406.25        	/	-11.57         
0.3054    /	3425.78        	/	-12.40         
0.3054    /	3445.31        	/	-6.33          
0.3054    /	3464.84        	/	-2.98          
0.3054    /	3484.38        	/	-11.19         
0.3054    /	3503.91        	/	-8.40          
0.3054    /	3523.44        	/	-5.31          
0.3054    /	3542.97        	/	-22.18         
0.3054    /	3562.50        	/	-16.79         
0.3054    /	3582.03        	/	-23.54         
0.3054    /	3601.56        	/	-26.34         
0.3054    /	3621.09        	/	-15.78         
0.3054    /	3640.62        	/	-24.88         
0.3054    /	3660.16        	/	-10.75         
0.3054    /	3679.69        	/	-8.80          
0.3054    /	3699.22        	/	-25.52         
0.3054    /	3718.75        	/	-11.24         
0.3054    /	3738.28        	/	-6.26          
0.3054    /	3757.81        	/	-12.38         
0.3054    /	3777.34        	/	-7.81          
0.3054    /	3796.88        	/	-16.65         
0.3054    /	3816.41        	/	-18.35         
0.3054    /	3835.94        	/	-26.20         
0.3054    /	3855.47        	/	-4.78          
0.3054    /	3875.00        	/	-18.42         
0.3054    /	3894.53        	/	-21.15         
0.3054    /	3914.06        	/	-19.23         
0.3054    /	3933.59        	/	-12.78         
0.3054    /	3953.12        	/	-21.04         
0.3054    /	3972.66        	/	-29.62         
0.3124    /	7.81           	/	-20.84         
0.3124    /	27.34          	/	-1.45          
0.3124    /	46.88          	/	9.61           
0.3124    /	66.41          	/	15.01          
0.3124    /	85.94          	/	9.82           
0.3124    /	105.47         	/	3.73           
0.3124    /	125.00         	/	8.24           
0.3124    /	144.53         	/	10.10          
0.3124    /	164.06         	/	13.34          
0.3124    /	183.59         	/	24.75          
0.3124    /	203.12         	/	29.32          
0.3124    /	222.66         	/	6.02           
0.3124    /	242.19         	/	9.63           
0.3124    /	261.72         	/	5.79           
0.3124    /	281.25         	/	8.28           
0.3124    /	300.78         	/	19.10          
0.3124    /	320.31         	/	7.42           
0.3124    /	339.84         	/	7.45           
0.3124    /	359.38         	/	23.60          
0.3124    /	378.91         	/	30.30          
0.3124    /	398.44         	/	2.93           
0.3124    /	417.97         	/	-11.44         
0.3124    /	437.50         	/	-13.91         
0.3124    /	457.03         	/	-17.67         
0.3124    /	476.56         	/	-19.33         
0.3124    /	496.09         	/	3.16           
0.3124    /	515.62         	/	1.31           
0.3124    /	535.16         	/	-2.15          
0.3124    /	554.69         	/	-3.48          
0.3124    /	574.22         	/	15.41          
0.3124    /	593.75         	/	7.30           
0.3124    /	613.28         	/	-6.01          
0.3124    /	632.81         	/	-5.85          
0.3124    /	652.34         	/	-7.03          
0.3124    /	671.88         	/	2.84           
0.3124    /	691.41         	/	-12.66         
0.3124    /	710.94         	/	1.72           
0.3124    /	730.47         	/	-5.81          
0.3124    /	750.00         	/	5.01           
0.3124    /	769.53         	/	3.88           
0.3124    /	789.06         	/	2.02           
0.3124    /	808.59         	/	-15.09         
0.3124    /	828.12         	/	-19.00         
0.3124    /	847.66         	/	-8.25          
0.3124    /	867.19         	/	-16.15         
0.3124    /	886.72         	/	-6.09          
0.3124    /	906.25         	/	0.73           
0.3124    /	925.78         	/	2.28           
0.3124    /	945.31         	/	-1.86          
0.3124    /	964.84         	/	-12.44         
0.3124    /	984.38         	/	-7.11          
0.3124    /	1003.91        	/	-2.10          
0.3124    /	1023.44        	/	-10.51         
0.3124    /	1042.97        	/	8.79           
0.3124    /	1062.50        	/	5.77           
0.3124    /	1082.03        	/	-0.20          
0.3124    /	1101.56        	/	3.99           
0.3124    /	1121.09        	/	0.41           
0.3124    /	1140.62        	/	-6.51          
0.3124    /	1160.16        	/	-5.69          
0.3124    /	1179.69        	/	4.81           
0.3124    /	1199.22        	/	1.46           
0.3124    /	1218.75        	/	-4.70          
0.3124    /	1238.28        	/	6.48           
0.3124    /	1257.81        	/	-4.97          
0.3124    /	1277.34        	/	-3.05          
0.3124    /	1296.88        	/	3.85           
0.3124    /	1316.41        	/	0.14           
0.3124    /	1335.94        	/	11.34          
0.3124    /	1355.47        	/	9.88           
0.3124    /	1375.00        	/	1.38           
0.3124    /	1394.53        	/	-0.38          
0.3124    /	1414.06        	/	-3.00          
0.3124    /	1433.59        	/	17.56          
0.3124    /	1453.12        	/	14.38          
0.3124    /	1472.66        	/	8.37           
0.3124    /	1492.19        	/	9.16           
0.3124    /	1511.72        	/	5.70           
0.3124    /	1531.25        	/	-0.86          
0.3124    /	1550.78        	/	-13.39         
0.3124    /	1570.31        	/	-11.81         
0.3124    /	1589.84        	/	0.29           
0.3124    /	1609.38        	/	2.03           
0.3124    /	1628.91        	/	-6.32          
0.3124    /	1648.44        	/	-7.21          
0.3124    /	1667.97        	/	-16.89         
0.3124    /	1687.50        	/	-3.26          
0.3124    /	1707.03        	/	5.68           
0.3124    /	1726.56        	/	0.07           
0.3124    /	1746.09        	/	2.62           
0.3124    /	1765.62        	/	4.52           
0.3124    /	1785.16        	/	-13.63         
0.3124    /	1804.69        	/	-5.78          
0.3124    /	1824.22        	/	12.93          
0.3124    /	1843.75        	/	3.28           
0.3124    /	1863.28        	/	-16.46         
0.3124    /	1882.81        	/	-0.00          
0.3124    /	1902.34        	/	2.97           
0.3124    /	1921.88        	/	13.10          
0.3124    /	1941.41        	/	7.75           
0.3124    /	1960.94        	/	3.04           
0.3124    /	1980.47        	/	3.59           
0.3124    /	2000.00        	/	-10.74         
0.3124    /	2019.53        	/	-1.57          
0.3124    /	2039.06        	/	6.64           
0.3124    /	2058.59        	/	2.72           
0.3124    /	2078.12        	/	5.33           
0.3124    /	2097.66        	/	-2.97          
0.3124    /	2117.19        	/	7.70           
0.3124    /	2136.72        	/	-0.89          
0.3124    /	2156.25        	/	-3.41          
0.3124    /	2175.78        	/	-12.58         
0.3124    /	2195.31        	/	-14.62         
0.3124    /	2214.84        	/	-14.33         
0.3124    /	2234.38        	/	-7.46          
0.3124    /	2253.91        	/	-19.34         
0.3124    /	2273.44        	/	-17.39         
0.3124    /	2292.97        	/	-5.06          
0.3124    /	2312.50        	/	-8.14          
0.3124    /	2332.03        	/	-6.32          
0.3124    /	2351.56        	/	-8.89          
0.3124    /	2371.09        	/	-5.55          
0.3124    /	2390.62        	/	-12.81         
0.3124    /	2410.16        	/	-4.16          
0.3124    /	2429.69        	/	-27.79         
0.3124    /	2449.22        	/	-12.09         
0.3124    /	2468.75        	/	-12.22         
0.3124    /	2488.28        	/	-15.31         
0.3124    /	2507.81        	/	-14.84         
0.3124    /	2527.34        	/	-3.65          
0.3124    /	2546.88        	/	-2.67          
0.3124    /	2566.41        	/	-6.68          
0.3124    /	2585.94        	/	-1.98          
0.3124    /	2605.47        	/	-1.50          
0.3124    /	2625.00        	/	-8.07          
0.3124    /	2644.53        	/	-6.93          
0.3124    /	2664.06        	/	-11.83         
0.3124    /	2683.59        	/	3.67           
0.3124    /	2703.12        	/	2.89           
0.3124    /	2722.66        	/	-14.42         
0.3124    /	2742.19        	/	-13.51         
0.3124    /	2761.72        	/	-8.53          
0.3124    /	2781.25        	/	-9.40          
0.3124    /	2800.78        	/	-0.69          
0.3124    /	2820.31        	/	-8.61          
0.3124    /	2839.84        	/	-14.98         
0.3124    /	2859.38        	/	-1.32          
0.3124    /	2878.91        	/	-6.72          
0.3124    /	2898.44        	/	-6.79          
0.3124    /	2917.97        	/	-20.29         
0.3124    /	2937.50        	/	-17.04         
0.3124    /	2957.03        	/	-12.45         
0.3124    /	2976.56        	/	-6.20          
0.3124    /	2996.09        	/	-26.55         
0.3124    /	3015.62        	/	-17.71         
0.3124    /	3035.16        	/	1.41           
0.3124    /	3054.69        	/	-1.29          
0.3124    /	3074.22        	/	-2.93          
0.3124    /	3093.75        	/	-2.41          
0.3124    /	3113.28        	/	-17.73         
0.3124    /	3132.81        	/	-13.74         
0.3124    /	3152.34        	/	-5.81          
0.3124    /	3171.88        	/	-7.88          
0.3124    /	3191.41        	/	-15.29         
0.3124    /	3210.94        	/	-21.78         
0.3124    /	3230.47        	/	-9.12          
0.3124    /	3250.00        	/	-15.24         
0.3124    /	3269.53        	/	-12.84         
0.3124    /	3289.06        	/	-15.89         
0.3124    /	3308.59        	/	-16.47         
0.3124    /	3328.12        	/	-18.55         
0.3124    /	3347.66        	/	-8.45          
0.3124    /	3367.19        	/	-7.23          
0.3124    /	3386.72        	/	-10.28         
0.3124    /	3406.25        	/	-15.25         
0.3124    /	3425.78        	/	-13.62         
0.3124    /	3445.31        	/	-5.14          
0.3124    /	3464.84        	/	-2.68          
0.3124    /	3484.38        	/	-13.09         
0.3124    /	3503.91        	/	-8.74          
0.3124    /	3523.44        	/	-3.64          
0.3124    /	3542.97        	/	-22.96         
0.3124    /	3562.50        	/	-15.22         
0.3124    /	3582.03        	/	-22.27         
0.3124    /	3601.56        	/	-28.25         
0.3124    /	3621.09        	/	-20.42         
0.3124    /	3640.62        	/	-33.89         
0.3124    /	3660.16        	/	-13.38         
0.3124    /	3679.69        	/	-10.70         
0.3124    /	3699.22        	/	-25.38         
0.3124    /	3718.75        	/	-11.09         
0.3124    /	3738.28        	/	-4.10          
0.3124    /	3757.81        	/	-11.12         
0.3124    /	3777.34        	/	-8.79          
0.3124    /	3796.88        	/	-19.23         
0.3124    /	3816.41        	/	-20.36         
0.3124    /	3835.94        	/	-25.56         
0.3124    /	3855.47        	/	-5.72          
0.3124    /	3875.00        	/	-21.20         
0.3124    /	3894.53        	/	-24.25         
0.3124    /	3914.06        	/	-22.86         
0.3124    /	3933.59        	/	-12.72         
0.3124    /	3953.12        	/	-20.95         
0.3124    /	3972.66        	/	-29.79         
0.3195    /	7.81           	/	-21.61         
0.3195    /	27.34          	/	-5.80          
0.3195    /	46.88          	/	8.43           
0.3195    /	66.41          	/	13.94          
0.3195    /	85.94          	/	7.44           
0.3195    /	105.47         	/	3.29           
0.3195    /	125.00         	/	7.64           
0.3195    /	144.53         	/	7.10           
0.3195    /	164.06         	/	9.93           
0.3195    /	183.59         	/	22.31          
0.3195    /	203.12         	/	27.31          
0.3195    /	222.66         	/	4.28           
0.3195    /	242.19         	/	11.68          
0.3195    /	261.72         	/	7.83           
0.3195    /	281.25         	/	14.15          
0.3195    /	300.78         	/	19.60          
0.3195    /	320.31         	/	8.54           
0.3195    /	339.84         	/	7.87           
0.3195    /	359.38         	/	24.93          
0.3195    /	378.91         	/	31.15          
0.3195    /	398.44         	/	4.51           
0.3195    /	417.97         	/	-8.52          
0.3195    /	437.50         	/	-10.15         
0.3195    /	457.03         	/	-19.66         
0.3195    /	476.56         	/	-19.77         
0.3195    /	496.09         	/	5.86           
0.3195    /	515.62         	/	4.88           
0.3195    /	535.16         	/	1.41           
0.3195    /	554.69         	/	-4.40          
0.3195    /	574.22         	/	11.03          
0.3195    /	593.75         	/	6.82           
0.3195    /	613.28         	/	-5.16          
0.3195    /	632.81         	/	-4.82          
0.3195    /	652.34         	/	-4.50          
0.3195    /	671.88         	/	4.77           
0.3195    /	691.41         	/	-9.41          
0.3195    /	710.94         	/	3.69           
0.3195    /	730.47         	/	-4.97          
0.3195    /	750.00         	/	5.90           
0.3195    /	769.53         	/	2.60           
0.3195    /	789.06         	/	1.53           
0.3195    /	808.59         	/	-14.90         
0.3195    /	828.12         	/	-17.22         
0.3195    /	847.66         	/	-6.05          
0.3195    /	867.19         	/	-9.60          
0.3195    /	886.72         	/	-1.56          
0.3195    /	906.25         	/	0.62           
0.3195    /	925.78         	/	3.14           
0.3195    /	945.31         	/	-2.38          
0.3195    /	964.84         	/	-7.63          
0.3195    /	984.38         	/	-6.90          
0.3195    /	1003.91        	/	-5.40          
0.3195    /	1023.44        	/	-9.50          
0.3195    /	1042.97        	/	10.20          
0.3195    /	1062.50        	/	4.29           
0.3195    /	1082.03        	/	5.38           
0.3195    /	1101.56        	/	8.20           
0.3195    /	1121.09        	/	0.80           
0.3195    /	1140.62        	/	-7.53          
0.3195    /	1160.16        	/	-13.58         
0.3195    /	1179.69        	/	4.75           
0.3195    /	1199.22        	/	4.63           
0.3195    /	1218.75        	/	-3.99          
